name,kind,lat,lon,province/city
Lầu Ông Hoàng,castle,10.9347126,108.144982,Bình Thuận
Tháp Po Sah Inư,ruins,10.9360535,108.1461223,Bình Thuận
Tượng Phật Bà,monument,10.9237795,108.0954176,Bình Thuận
White Dunes,attraction,11.0678842,108.4273029,Bình Thuận
Mũi Kê Gà,cape,10.6998411,107.9931295,Bình Thuận
Tháp nước Phan Thiết,yes,10.9287668,108.1000173,Bình Thuận
Bảo tàng Hồ Chí Minh,museum,10.9286452,108.0953332,Bình Thuận
Tượng đài Chiến Thắng,monument,10.9295791,108.1042775,Bình Thuận
Vita Garden Mini-park,park,10.9543324,108.2587827,Bình Thuận
Ta Cu Moutain,attraction,10.8345222,107.8703156,Bình Thuận
Fairy Stream,attraction,10.9520082,108.2567008,Bình Thuận
Núi Hồ Linh,mountain,10.510745,107.5032561,Bình Thuận
Bãi biển Đồi Dương Thị Xã Lagi,artwork,10.7063765,107.8415884,Bình Thuận
Dragon Fruit Plantage,attraction,11.1907698,108.0740317,Bình Thuận
Bãi Suối Ồ - Sông Lô,beach,10.5659429,107.5673747,Bình Thuận
Bia chiến thắng Đèo Bảo Lộc,monument,11.4633252,107.7303494,Bình Thuận
Biển Hồ Hô Tram Camping,camp_site,10.5322922,107.5364244,Bình Thuận
Tượng đài Việt Quốc Công,monument,10.9274792,108.1167763,Bình Thuận
Công viên Hòa Bình,park,10.9294288,108.1152186,Bình Thuận
Novadream,park,10.8491269,108.0424732,Bình Thuận
Đồi cát bay Mũi Né,attraction,10.9476754,108.2933338,Bình Thuận
