name,kind,lat,lon,province/city
Đèo Hải Vân,attraction,16.1874495,108.1307217,Đà Nẵng
Mũi Đà Nẵng,cape,16.117875,108.3386414,Đà Nẵng
Ban Co Peak,peak,16.1189286,108.2720036,Đà Nẵng
Bãi Nam,viewpoint,16.1027134,108.2951213,Đà Nẵng
Động Âm Phủ,cave,16.0031975,108.2639113,Đà Nẵng
Linh Nham Cave,cave,16.0042103,108.2630874,Đà Nẵng
Núi Bà Nà,attraction,15.9982174,107.9856335,Đà Nẵng
Thanh Ha Pottery Village,attraction,15.8771257,108.2989875,Đà Nẵng
Non Nuoc Beach,beach,16.0205336,108.261744,Đà Nẵng
Bảo tàng Mỹ Thuật Đà nẵng,artwork,16.0712623,108.2177145,Đà Nẵng
Hoi An Old Town,attraction,15.8779509,108.3239898,Đà Nẵng
Trung tâm Giải trí Phức hợp Helio Center,park,16.0364559,108.2246715,Đà Nẵng
Fishing Village and Fleet,attraction,16.1017543,108.2589632,Đà Nẵng
Tien Son Bridge,attraction,16.0352694,108.2352722,Đà Nẵng
Núi Thần Tài,attraction,15.9681262,108.0196301,Đà Nẵng
Chợ Đêm,attraction,15.8757772,108.3259285,Đà Nẵng
Sun World Asia Park,park,16.0399668,108.2268339,Đà Nẵng
Phố cổ Hội An,attraction,15.8784139,108.3234141,Đà Nẵng
Han Swinging Bridge,attraction,16.0721398,108.2268106,Đà Nẵng
Chợ đêm Helio,attraction,16.0371449,108.2244066,Đà Nẵng
Chùa Linh Ứng, pagoda, 16.099646, 108.276998, Đà Nẵng
Bảo tàng Đà Nẵng,museum,16.0763269,108.221568,Đà Nẵng
Sun World Bà Nà Hills,park,15.9956307,107.9897217,Đà Nẵng
Hải Vân Quan,attraction,16.1877471,108.1312899,Đà Nẵng
