name,kind,lat,lon,province/city
Khách Sạn Đức Thái,hotel,21.0340035,105.8471444,Hà Nội
Khách Sạn Prince,hotel,21.0273109,105.8435309,Hà Nội
Somerset Grand Hanoi,hotel,21.0258326,105.8463672,Hà Nội
Tượng đài Lý Thái Tổ,memorial,21.0274885,105.854501,Hà Nội
Nhà 48 phố Hàng Ngang,attraction,21.0343278,105.8504388,Hà Nội
Thành Công,hotel,21.0137437,105.8132213,Hà Nội
Ks Á Đông,hotel,20.9668684,105.9935878,Hà Nội
Khách Sạn Đông Á,hotel,21.0353948,105.8533211,Hà Nội
Thu Giang Guest House,hotel,21.0316783,105.8479749,Hà Nội
Real Darling Cafe Guesthouse,hotel,21.0326388,105.8495639,Hà Nội
Khách Sạn Classic 2,hotel,21.0346495,105.8517404,Hà Nội
Khách Sạn Indochina Queen,hotel,21.0354757,105.8527489,Hà Nội
Khách Sạn Hanoi Backpackers,hotel,21.0293871,105.8480711,Hà Nội
Khách Sạn Hanoi Phoenix II,hotel,21.0354506,105.8525879,Hà Nội
Phu Hoa,hotel,21.0334478,105.8500291,Hà Nội
Khách Sạn Little Hanoi Diamond,hotel,21.033677,105.8476149,Hà Nội
Khách Sạn Little Hanoi,hotel,21.0349399,105.8469714,Hà Nội
Prince Hotel,hotel,21.0347507,105.8516905,Hà Nội
Khách Sạn Classic,hotel,21.032831,105.8539652,Hà Nội
Prince 57 Hotel,hotel,21.0326352,105.8539615,Hà Nội
Khách Sạn Hanoi Youth,hotel,21.0331149,105.8504878,Hà Nội
Tien Thuy Hotel,hotel,21.0321235,105.8549831,Hà Nội
Khách Sạn Hanoi Gecko 2,hotel,21.0334005,105.85244,Hà Nội
Khách Sạn Golden Lotus,hotel,21.0308292,105.8493639,Hà Nội
Zephyr Hotel,hotel,21.0256167,105.8514292,Hà Nội
Khách Sạn Bạch Tùng Điệp,hotel,21.0329471,105.847996,Hà Nội
Khách Sạn Camellia,hotel,21.033588,105.852824,Hà Nội
Khách Sạn Hanoi Gecko III,hotel,21.0336704,105.8473559,Hà Nội
The Drift Backpackers Hostel,hotel,21.0191472,105.8484037,Hà Nội
Khách Sạn Maison D'Hanoi,hotel,21.0311045,105.8494873,Hà Nội
Rising Dragon,hotel,21.0324116,105.8539573,Hà Nội
Khách Sạn Hanoi Elegance 2,hotel,21.0346906,105.8535697,Hà Nội
Sunshine Palace,hotel,21.0350341,105.8533618,Hà Nội
Khách Sạn Joseph's,hotel,21.0282816,105.8483502,Hà Nội
