name,kind,lat,lon,province/city
Hue Backpackers,guest_house,16.469621,107.5941586,Huế
Hong Thien 2 hotel,hotel,16.4691326,107.5960838,Huế
Tran Ly,hotel,16.4704922,107.5945042,Huế
Lăng Tự Đức,ruins,16.4331813,107.5645857,Huế
Pilgrimage Village,hotel,16.4250786,107.5794609,Huế
Thái Sơn,hotel,16.4616919,107.600457,Huế
Gold 2 Hotel,hotel,16.4647734,107.593624,Huế
Camellia,hotel,16.4652432,107.5949681,Huế
Nguyen Hue,hotel,16.4579973,107.5910025,Huế
Hue Amazing Homestay,hostel,16.4715881,107.609913,Huế
Huenino Hotel,hotel,16.4710693,107.5955971,Huế
Century Riverside Hotel,hotel,16.4705358,107.593545,Huế
Imperial,hotel,16.4660721,107.5915276,Huế
Thang Long,hotel,16.4647719,107.5931446,Huế
Gem,hotel,16.4650355,107.5933243,Huế
Hanh Dat,hotel,16.4727268,107.6004428,Huế
Tử Cấm Thành,attraction,16.4694914,107.577755,Huế
Binh Duong 1,hotel,16.464486,107.592743,Huế
Festival,hotel,16.460492,107.591433,Huế
Phu An,hotel,16.4651701,107.5932199,Huế
Duy Tan,hotel,16.465141,107.592072,Huế
Canary Boutique Hotel,hotel,16.4715538,107.5974083,Huế
Holiday Diamond Hotel,hotel,16.4714494,107.5954258,Huế
Vina Hotel Hue,hotel,16.4714312,107.5973016,Huế
Thanh An,hotel,16.463126,107.589712,Huế
Hong Thien 1 Hotel,hotel,16.4693371,107.5962366,Huế
Halo Guest house,hotel,16.4695392,107.5946671,Huế
Cherish Hotel,hotel,16.4644442,107.5948295,Huế
Khe Sanh Homestay,guest_house,16.4712388,107.5976493,Huế
Jade Hotel,hotel,16.4646678,107.593736,Huế
Guesthouse B&B,guest_house,16.464793,107.5932735,Huế
Lucky Homestay,hostel,16.4668146,107.5931679,Huế
hue serene palace hotel,hotel,16.4704511,107.5971288,Huế
Thai Binh 2,hotel,16.4656206,107.5907885,Huế
Nhat Le Hotel,hotel,16.4648397,107.5911108,Huế
Cozy Hue Hotel,hotel,16.469913,107.5968544,Huế
Oasis hostel,hostel,16.4694657,107.5937308,Huế
Jade Hotel,hotel,16.4645423,107.5935062,Huế
Vọng cảnh,hotel,16.4645471,107.5940084,Huế
Charming Hotel,hotel,16.4679947,107.5954077,Huế
Charming Hotel,hotel,16.4684097,107.5967146,Huế
Bien Khoi,hostel,16.4608688,107.5880247,Huế
Freedom hostel,hostel,16.4688654,107.5967059,Huế
Moonlight Hotel,hotel,16.4695597,107.5940231,Huế
Amy Hostel Hue,hostel,16.4715829,107.595608,Huế
Hong Thien Backpackers Hotel,hotel,16.469176,107.5960492,Huế
Hotel La Perle,hotel,16.4706787,107.5972255,Huế
Jasmine,hotel,16.4702404,107.5947806,Huế
Serene Shining Hotel,hotel,16.4717426,107.5980074,Huế
Huong Giang Hotel Resort & Spa,hotel,16.471645,107.5942339,Huế
Nhu Phu Hotel,hotel,16.469815,107.5950299,Huế
Temple of Literature,monument,16.452965,107.538902,Huế
Tượng đài Quan Thế Âm Bồ Tát,attraction,16.3920792,107.5841879,Huế
Volga Hotel,hotel,16.4642015,107.5946722,Huế
Sunny B Hotel,hotel,16.4645542,107.5926544,Huế
Tre Xanh **,hotel,16.4638576,107.5943077,Huế
Khách sạn Nhà hàng tiệc cưới Trúc Xanh,hotel,16.4569977,107.5578614,Huế
Vu homestay,hostel,16.4198275,107.5696438,Huế
Tigon Hostel,hostel,16.4712237,107.595768,Huế
Nhà Nghỉ Glenda,guest_house,16.4683593,107.5970671,Huế
Điềm Phùng Thį,museum,16.4578346,107.5842155,Huế
Tượng đài Phan Bội Châu,monument,16.46715,107.5898061,Huế
Ho Thuy Tien,attraction,16.4094987,107.5770314,Huế
nhà Na,guest_house,16.5070861,107.6015127,Huế
Nha nghi,guest_house,16.3708393,107.7237032,Huế
Nhat Le Hotel,hotel,16.4641867,107.5926369,Huế
Hanh Ni,guest_house,16.3881371,107.7035397,Huế
The Times Hotel,hotel,16.4690384,107.5968038,Huế
Hue Garden Villa Hotel,hotel,16.4701857,107.5943923,Huế
Anh Nguyen Tat Thanh,artwork,16.468012,107.5915418,Huế
Vina Center Hotel,hotel,16.4720038,107.5957532,Huế
Duc Tai Guesthouse,guest_house,16.4617863,107.5885643,Huế
Sharedorm,hostel,16.4709976,107.5982005,Huế
Tô Quôc Ghi Công,monument,16.3962863,107.5887,Huế
My family,artwork,16.4498807,107.5877128,Huế
Shark Homestay,hotel,16.4705277,107.5964501,Huế
Bonjour Hostel,hostel,16.4707164,107.5957357,Huế
Tam Tinh Vien homestay,guest_house,16.451293,107.5290069,Huế
Đồi Vọng Cảnh,attraction,16.4352692,107.562407,Huế
very nice guest house,guest_house,16.4269059,107.7907576,Huế
Nhà Tôn Thất Quyền (Bạn Cấp 3),guest_house,16.4745331,107.599111,Huế
Nhà C Trần Hoài Nhi,guest_house,16.479319,107.5771025,Huế
Nhà Gia Huân (Bạn Cấp 3),guest_house,16.476894,107.5958028,Huế
Phong Lan Guesthouse,hotel,16.4701157,107.5942259,Huế
Kinh Do,hotel,16.4686966,107.5953464,Huế
Kinh Do,hotel,16.4682934,107.5951323,Huế
Trung Hòa Vị Dục,artwork,16.4682336,107.5787643,Huế
Chính Trực Đãng Bình,artwork,16.4678639,107.5790477,Huế
NewLife Homestay,hostel,16.4693903,107.5962568,Huế
Cuoc Song Moi Homestay,guest_house,16.4704096,107.5967794,Huế
ngoc binh,hotel,16.4643603,107.5927428,Huế
Hoàng Thành Huế,museum,16.4689726,107.5781266,Huế
Romanhotel,artwork,16.4753855,107.5952599,Huế
Holy Cannons of the Citadel of Hue,attraction,16.4679198,107.5812344,Huế
Holy Cannons of the Citadel of Hue,attraction,16.46592,107.5783717,Huế
Everhome,hostel,16.4627039,107.5994786,Huế
Phá Tam Giang,attraction,16.589672,107.5600626,Huế
Lăng vua Gia Long,attraction,16.3620472,107.5969243,Huế
Hoang Huong Guesthouse,guest_house,16.4699691,107.5943859,Huế
Cua Thuong To,attraction,16.4698151,107.5840464,Huế
Bac Khuyet Dai,attraction,16.4719956,107.5758125,Huế
Boi Lang,attraction,16.4342482,107.5666428,Huế
Quoc Hoc,attraction,16.4609446,107.5825343,Huế
Cầu Chợ Dinh,attraction,16.4929675,107.5924182,Huế
Cau Tam Giang,attraction,16.5821907,107.5885002,Huế
Cầu Vĩ Dạ,attraction,16.4714657,107.5997497,Huế
To Quoc Ghi Cong,attraction,16.4725391,107.6419051,Huế
Cau Thuy Van,attraction,16.4824922,107.6040878,Huế
Cau Van Duong,attraction,16.4741464,107.6078971,Huế
Cau Chau Son,attraction,16.4183309,107.6536678,Huế
Ibiza Guest House,guest_house,16.4687891,107.5967069,Huế
FA Backpacker Hostel,hostel,16.4683796,107.596834,Huế
Home Hotel,hotel,16.472055,107.5952904,Huế
Queen homestay,hostel,16.4645238,107.5945138,Huế
Villa Louise,hotel,16.5454505,107.6771465,Huế
Thanh An 2 Guesthouse,guest_house,16.4615161,107.5888263,Huế
Nhà Nghí Ánh Xuân,guest_house,16.4610798,107.5882636,Huế
Melody Hostel,hostel,16.4686237,107.5962891,Huế
Ninh Tam,hostel,16.4703259,107.5952483,Huế
EcoLodge,hotel,16.438267,107.5341492,Huế
Lúm Đồng Tiền,hotel,16.4610555,107.5881174,Huế
Amy 2 Hostel,hostel,16.4702229,107.5963737,Huế
Nhà Nghỉ Thiên Thuỷ Motel,motel,16.4085226,107.6771219,Huế
Than Thien - Friendly Hotel,hotel,16.4720275,107.5953917,Huế
Royal Crest Hotel,hotel,16.4756542,107.5959418,Huế
Nguyen Chi Thanh Satue,monument,16.5740947,107.5094706,Huế
Đại Cung Môn,ruins,16.4691166,107.5780681,Huế
Cửu đỉnh,attraction,16.4668016,107.5770038,Huế
Vạc đồng,artwork,16.4690844,107.5779533,Huế
Vạc đồng,artwork,16.469204,107.5781398,Huế
Nguyệt Anh Môn,artwork,16.4688755,107.5779056,Huế
Nhật Tinh Môn,artwork,16.4692177,107.5783445,Huế
Huế Amazing Easy Rider and Homestay,hostel,16.4717424,107.609813,Huế
Núi Tam Thai,peak,16.4485694,107.5982882,Huế
Núi Ngự Bình,peak,16.4417972,107.5961311,Huế
Núi Bân,peak,16.4420917,107.5902616,Huế
Villa Hue Hotel,hotel,16.4675278,107.5955267,Huế
Beaulieu Boutique Hotel,hotel,16.4693459,107.5947639,Huế
Tượng đài vua Quang Trung,monument,16.4420037,107.5914458,Huế
Khai Dinh,attraction,16.3989537,107.5902801,Huế
Bon Ami hostel,hostel,16.4696294,107.5964047,Huế
White Buddha,artwork,16.1901873,107.8497098,Huế
Buncha House,hostel,16.4658936,107.5946574,Huế
Hue,attraction,16.4721692,107.5815979,Huế
MaiLy Hostel,hostel,16.4696845,107.5961721,Huế
Kim’s Homestay new address,guest_house,16.4546879,107.5691639,Huế
Hong Thien Ruby Hotel,hotel,16.4694368,107.596291,Huế
Hoa Cuc Xanh Mini Hotel,hotel,16.4607128,107.5877886,Huế
Candy Inn Hue,hotel,16.4687027,107.5975706,Huế
cây cảnh Thảo Nguyên,artwork,16.4649735,107.6064089,Huế
Con,artwork,16.4335704,107.5616245,Huế
The Scarlett Boutique Hotel,hotel,16.4668921,107.5950413,Huế
Cao đỉnh,artwork,16.4668321,107.5769794,Huế
Đàn Xã Tắc,ruins,16.4650415,107.5712089,Huế
Lầu Kiến Trung,information,16.4710694,107.5765646,Huế
Trích Thuý Sơn,artwork,16.4708817,107.5781599,Huế
Bia Tiên động phương tung,memorial,16.471778,107.5782705,Huế
Tiểu Hữu Thiên,artwork,16.470202,107.5782242,Huế
Hue Melody Hotel (real location),hotel,16.4690766,107.5959213,Huế
Fish food,attraction,16.4707602,107.5781169,Huế
Đầm Cầu Hai,attraction,16.3189925,107.8497119,Huế
Thanh Duten,motel,16.4944849,107.4064039,Huế
Thanh Duyen,motel,16.4940716,107.3868929,Huế
DMZ Hostel,hostel,16.4700343,107.594106,Huế
Chez Mme. Loan,guest_house,16.4375687,107.5373636,Huế
Flora Hotel,hotel,16.471368,107.5962367,Huế
Ben Homestay,guest_house,16.469707,107.5962842,Huế
nhà mẫn,alpine_hut,16.5437789,107.4669214,Huế
Midtown Hotel,hotel,16.4683507,107.5954601,Huế
Eldora,hotel,16.4648595,107.5945502,Huế
Idéal hôtel,hotel,16.4686664,107.5946832,Huế
Idéal hôtel,hotel,16.4686591,107.5946611,Huế
Nhât lê hotel,hotel,16.4645123,107.5927908,Huế
Hồ Sơn Thọ,attraction,16.3515757,107.5882024,Huế
aNhill boutique,hill,16.4171446,107.5894465,Huế
Suối Khe Đầy,artwork,16.3387507,107.5413496,Huế
Boi Tran Garden,gallery,16.4074433,107.5846393,Huế
5.T Hostel,hostel,16.4696647,107.5962313,Huế
Jade Scene Hotel,hotel,16.4695305,107.5968967,Huế
Làng mây tre đan Bao La,attraction,16.5394551,107.4709349,Huế
Đúc đồng Dương Xuân,attraction,16.4532498,107.5632941,Huế
Làng tránh Sình,attraction,16.5217578,107.5774757,Huế
Làng rèn Hiền Lương,attraction,16.5582703,107.4691259,Huế
cầu ngói,viewpoint,16.5556894,107.468554,Huế
Làng nghề sơn mài thếp vàng Tiên Nộn,attraction,16.4983321,107.5798678,Huế
Làng nghề hoa giấy Thanh Tiên,attraction,16.5053321,107.5785503,Huế
Liễn làng Chuồn,attraction,16.5073733,107.6357846,Huế
Làng hương Thủy Xuân,attraction,16.435508,107.562289,Huế
Ho Thuy Tien Waterpark Space Simulator,ruins,16.4112974,107.5738937,Huế
Guest House Maika,guest_house,16.4701059,107.5952181,Huế
Rosaleen,hotel,16.469347,107.5954442,Huế
Jesus Christ,artwork,16.4580759,107.5964004,Huế
NANO Eco-hostel,hostel,16.4131993,107.575959,Huế
