name,kind,lat,lon,province/city
Dinh Bao Dai 1,castle,11.9444549,108.4698681,Lâm Đồng
Bảo Tàng Lâm Đồng,museum,11.9405756,108.4599038,Lâm Đồng
Thung Lũng Tình Yêu,peak,11.9781853,108.4499229,Lâm Đồng
Núi Lang Biang,peak,12.0472573,108.4405826,Lâm Đồng
Thác Dambri,viewpoint,11.642191,107.7428354,Lâm Đồng
Thung Lũng Vàng,attraction,12.0067009,108.3827889,Lâm Đồng
Ma Rừng Lữ Quán,attraction,12.0026337,108.3473592,Lâm Đồng
cây thông cô đơn,attraction,12.0206505,108.3842224,Lâm Đồng
Ga Đà Lạt,attraction,11.9415603,108.4542354,Lâm Đồng
Tuyệt Tình Cốc,viewpoint,12.0464933,108.3386222,Lâm Đồng
Đài Đức Mẹ,artwork,11.9364727,108.4211912,Lâm Đồng
Đồi Cù,peak,11.9467725,108.4446208,Lâm Đồng
Hồ Tuyền Lâm,viewpoint,11.8995542,108.4372983,Lâm Đồng
Prenn,attraction,11.8746663,108.4721262,Lâm Đồng
Chợ đêm Da Lat,attraction,11.9418082,108.4370967,Lâm Đồng
Crazy House,museum,11.9345706,108.4306649,Lâm Đồng
Nhà lao thiếu nhi Đà Lạt,museum,11.9521331,108.4706527,Lâm Đồng
