name,kind,lat,lon,province/city
o 22-1116 Hon Ro,guest_house,12.2011497,109.191563,Nha Trang
Ho Ca Tri Nguyen,aquarium,12.1948083,109.2256497,Nha Trang
Bãi Tiên,picnic_site,12.2967642,109.2348449,Nha Trang
Mũi Đôi,cape,12.6481985,109.4616121,Nha Trang
Whale Island Resort,hotel,12.6526238,109.3946382,Nha Trang
Nhà Bảo Đại,attraction,12.2103078,109.2153658,Nha Trang
VinPearl,theme_park,12.2167276,109.2399577,Nha Trang
Jungle Beach Resort,hotel,12.4316033,109.2864847,Nha Trang
Vinpearl Deluxe,hotel,12.2223014,109.2459143,Nha Trang
Daimond Bay Resort,hotel,12.16676,109.1955786,Nha Trang
Nghĩa trang liệt sĩ Hòn Dung,memorial,12.2891903,109.1847686,Nha Trang
Mũi Kê Gà,cape,12.3054293,109.242305,Nha Trang
Happy House,hotel,12.2350426,109.1967819,Nha Trang
Green Peace,hotel,12.2333321,109.1947633,Nha Trang
Van Long,hotel,12.2338957,109.194625,Nha Trang
Saigon,hotel,12.2357739,109.1940169,Nha Trang
Cuong Long,hotel,12.23428,109.1945153,Nha Trang
Backpackers House,hostel,12.2348512,109.1942846,Nha Trang
Thang Long Nhatrang,hotel,12.2345891,109.1944401,Nha Trang
Blue Ocean,hotel,12.2342208,109.1945392,Nha Trang
Hoang Thanh,hotel,12.2337506,109.1946707,Nha Trang
AP,hotel,12.2362286,109.1939303,Nha Trang
Barcelona,hotel,12.2364231,109.1938898,Nha Trang
The Summer,hotel,12.2364924,109.1938766,Nha Trang
C30 Glory,hotel,12.2375937,109.1935997,Nha Trang
Golden Summer,hotel,12.2332854,109.1960366,Nha Trang
Sakura,hotel,12.2332298,109.1957691,Nha Trang
Nha Nghi,guest_house,12.2332456,109.1958448,Nha Trang
Azura hotel,hotel,12.2336921,109.1966519,Nha Trang
Sao Mai Hotel,hotel,12.234405,109.1946722,Nha Trang
Gia * Poseidon,hotel,12.2332565,109.1952023,Nha Trang
Kim Hoan Hong,hotel,12.2338373,109.195833,Nha Trang
Asia Paradise,hotel,12.2358365,109.1956151,Nha Trang
King Town Hotel,hotel,12.2354371,109.195405,Nha Trang
Golden Rain Hotel,hotel,12.2334982,109.1959144,Nha Trang
Golden,hotel,12.2351756,109.1954741,Nha Trang
Bán Đảo Hòn Gốm,attraction,12.6482916,109.4249862,Nha Trang
Thanh Bình,hotel,12.2449363,109.1898307,Nha Trang
Ha Van Hotel Nha Trang,hotel,12.232725,109.1953495,Nha Trang
ABC,hotel,12.2373522,109.1939769,Nha Trang
Bao Long,hotel,12.2374177,109.1951087,Nha Trang
Blue Star,hotel,12.2358245,109.1965452,Nha Trang
Ha Thanh,hotel,12.2381779,109.1937495,Nha Trang
Long Beach,hotel,12.2367568,109.1941407,Nha Trang
Thien Tan,hotel,12.2368769,109.1952015,Nha Trang
Hai Canh,hotel,12.2359114,109.1959954,Nha Trang
Аптека 777,hotel,12.2356879,109.1948209,Nha Trang
Nhi Phi,hotel,12.2357676,109.1951633,Nha Trang
Oriole,hotel,12.2361455,109.1939532,Nha Trang
Golden Sea,hotel,12.2361707,109.1956181,Nha Trang
Green,hotel,12.2412846,109.1942635,Nha Trang
Khach San,hotel,12.2366292,109.1938681,Nha Trang
Kim Tuoc,hotel,12.2364462,109.1955552,Nha Trang
My Long,hotel,12.2387025,109.1933659,Nha Trang
Phu Quy,hotel,12.2391058,109.1948974,Nha Trang
Quoc Te,hotel,12.2400358,109.1936438,Nha Trang
ReMi,hotel,12.2368345,109.1932844,Nha Trang
Rose,hotel,12.2387501,109.1933603,Nha Trang
Truc Linh,hotel,12.2363526,109.1955743,Nha Trang
Canary,hotel,12.2337109,109.1946864,Nha Trang
Golden Rain,hotel,12.2340655,109.1957782,Nha Trang
Liberty,hotel,12.2357725,109.1956334,Nha Trang
Minh Trang,hotel,12.2336873,109.1946864,Nha Trang
Saint Paul,hotel,12.2344909,109.1959974,Nha Trang
Thác Yang Bay,viewpoint,12.1890588,108.9109067,Nha Trang
Khu du lịch Thác Yang Bay,attraction,12.1947322,108.9173118,Nha Trang
Daisy Flower Hotel,hotel,12.2378739,109.191152,Nha Trang
Ninh Vân Bay Resort,hotel,12.3593225,109.2776532,Nha Trang
Tượng Đài Cam Ranh,monument,12.0147825,109.2136418,Nha Trang
Sun City,hotel,12.2377368,109.1961682,Nha Trang
Sea Moon,guest_house,12.2370806,109.1947831,Nha Trang
Ba Ho Waterfalls,attraction,12.389958,109.1380303,Nha Trang
Indochine,hotel,12.2402067,109.1947808,Nha Trang
Tháp Hòa Lai,ruins,11.6763981,109.0361048,Nha Trang
VDB Nha Trang Hotel,hotel,12.2787829,109.2024435,Nha Trang
Fairy Bay Hotel,hotel,12.280282,109.2022987,Nha Trang
Starlet,hotel,12.2312281,109.1960912,Nha Trang
Thuy Duong,guest_house,12.5533071,109.2254631,Nha Trang
Novotel,hotel,12.2378023,109.1964739,Nha Trang
Palm Beach,hotel,12.2362451,109.1962015,Nha Trang
Galaxy,hotel,12.237917,109.1961367,Nha Trang
Thinh Le,guest_house,12.233913,109.196506,Nha Trang
Royal Apartments,apartment,12.2358972,109.1936724,Nha Trang
Palm Beach,hostel,12.2358562,109.1958796,Nha Trang
Sunny Sea,hotel,12.2352552,109.1964264,Nha Trang
Monument Alexander Yersin,monument,12.2589531,109.198761,Nha Trang
Sophia,hotel,12.2331791,109.1961567,Nha Trang
Prime,hotel,12.2375915,109.1961762,Nha Trang
Dubai Nha Trang,hotel,12.2376658,109.1961734,Nha Trang
Ba Ho Waterfall,attraction,12.3822485,109.1329056,Nha Trang
Sea Light,hotel,12.2378326,109.1961493,Nha Trang
Hotel Nam Vong,hotel,11.8815196,109.111827,Nha Trang
Mojzo Dorm,hostel,12.2384705,109.1926542,Nha Trang
hien luong,hotel,12.2376413,109.1945875,Nha Trang
Lavu 1,guest_house,12.2308772,109.1960686,Nha Trang
Nhà nghỉ Tây Nguyên,hotel,12.2880066,109.1956119,Nha Trang
Nhị Thanh,motel,12.2802171,109.2023789,Nha Trang
SOCHI hotel,hotel,12.227099,109.1992428,Nha Trang
Galaxy-3 hotel,hotel,12.2272885,109.1994034,Nha Trang
Majestic Star hotel,hotel,12.2274301,109.1997282,Nha Trang
Guesthouse Mua He,guest_house,12.2395752,109.1939802,Nha Trang
An Vista,hotel,12.2274131,109.1985203,Nha Trang
Mishelia,hotel,12.2533014,109.1955228,Nha Trang
Galiot,hotel,12.236036,109.1943683,Nha Trang
An Hoa,hotel,12.2354354,109.196521,Nha Trang
Backpack,hostel,12.2375915,109.1947998,Nha Trang
Dung Trinh,hotel,12.23452,109.1950923,Nha Trang
100 Eggs Mud Bath,theme_park,12.1873048,109.1610564,Nha Trang
nhà trọ,motel,12.2675702,109.1706548,Nha Trang
An Vista,hotel,12.2272683,109.1982608,Nha Trang
Modjzo Inn,hostel,12.2336572,109.1942658,Nha Trang
Phuong Dong,hotel,12.2332244,109.1947606,Nha Trang
Adam Viet Nam,hotel,12.2343168,109.1953991,Nha Trang
Truong Giang,hotel,12.2322518,109.195437,Nha Trang
Olympic Hotel,hotel,12.2549609,109.1936301,Nha Trang
Museum,museum,12.218199,109.1919055,Nha Trang
Monkey Island,attraction,12.3597651,109.2136043,Nha Trang
Phuong Dong,hotel,12.2344536,109.1946554,Nha Trang
Bãi dài nha trang,artwork,12.1158777,109.1950611,Nha Trang
vetnam,hotel,12.240089,109.1947824,Nha Trang
Pha Le Xanh 1,hotel,12.2453836,109.189674,Nha Trang
Blue Sea Hotel 3,hotel,12.2971961,109.2197615,Nha Trang
Tabalo,hostel,12.2366983,109.1929502,Nha Trang
VU QUY 1 (**),hotel,12.2193197,109.2042728,Nha Trang
Resort Ngọc Sương,hotel,11.8645035,109.1776526,Nha Trang
Đảo Hoa Vàng,hotel,11.8498094,109.1801457,Nha Trang
Sao Biển,hotel,11.8600655,109.1721371,Nha Trang
Bịp Sơn.,camp_site,12.7115092,109.2956674,Nha Trang
thu hien hotel,hotel,12.2272308,109.1986506,Nha Trang
Hoang Son,hotel,12.2316046,109.19754,Nha Trang
Thanh Thao,hotel,12.2315722,109.197376,Nha Trang
Nha Ngi,guest_house,12.2358413,109.1948435,Nha Trang
Dong Hai Hotel,hotel,12.2362747,109.1943293,Nha Trang
Trúc Linh,hotel,12.2362387,109.1953684,Nha Trang
Lengend sea 蓝泽,hotel,12.235496,109.19564,Nha Trang
