name,kind,lat,lon,province/city
Lăng Mẫu,memorial,20.3555875,106.0766009,Ninh Bình
Suối nước nóng Kênh Gà,attraction,20.3287705,105.8300152,Ninh Bình
Hang Dai,cave,20.2468209,105.9143554,Ninh Bình
Chùa Nhất Trụ,attraction,20.2878492,105.9074323,Ninh Bình
Khu Du lịch sinh Thái Tràng An,attraction,20.2530403,105.9181796,Ninh Bình
Tam Cốc -Bích Động,attraction,20.2163426,105.937457,Ninh Bình
Núi Kỳ Lân,peak,20.2641952,105.9677606,Ninh Bình
Trang An,attraction,20.2531609,105.9179932,Ninh Bình
Đền vua Đinh,museum,20.28811,105.9124347,Ninh Bình
CƠ SỞ BẢO TỒN GẤU Ninh Bình,attraction,20.2078516,105.7633634,Ninh Bình
Làng nghề sơn mài Cát Đằng,attraction,20.2974936,106.0294016,Ninh Bình
Làng nghề dệt chiếu Nga Sơn,attraction,20.0083366,105.970651,Ninh Bình
Dot Cave,cave,20.257273,105.9067478,Ninh Bình
Đồi Thung Thi,peak,20.0269821,105.7907521,Ninh Bình
Điện Tam Thế,attraction,20.2738547,105.8646942,Ninh Bình
Chùa Bái Đính,attraction,20.2736649,105.8643917,Ninh Bình
Đền vua Đinh Tiên Hoàng,attraction,20.284612,105.9051374,Ninh Bình
Cố đô Hoa Lư,attraction,20.2828485,105.9017497,Ninh Bình
