name,kind,lat,lon,province/city
Núi Đôi,peak,21.2576705,105.8641682,Hà Nội
Đài Tưởng Niệm Chủ Tịch Hồ Chí Minh,monument,20.9704922,105.8310021,Hà Nội
Tháp Bút,attraction,21.0306387,105.8533875,Hà Nội
Tượng Đức Mẹ,memorial,21.0289049,105.8493496,Hà Nội
Tượng thiền sư Lý Vạn Hạnh,monument,21.1379255,105.9829214,Hà Nội
Lăng Cả,tomb,21.0956814,105.9607972,Hà Nội
Điện Kính Thiên,ruins,21.0367885,105.8404345,Hà Nội
Làng mây tre đan Phú Vinh,attraction,20.9364693,105.6475969,Hà Nội
Đền Gióng Phù Đổng,attraction,21.0553833,105.9613045,Hà Nội
Lotte World Aquarium,park,21.0757951,105.8125879,Hà Nội
Xác máy bay B52,attraction,21.0379386,105.8270934,Hà Nội
Núi Đền,peak,21.2876414,105.8223183,Hà Nội
Tháp Đồng Hồ,attraction,20.9573147,105.9830321,Hà Nội
Cổng tam quan,attraction,20.8075268,105.8517377,Hà Nội
Cầu Thê Húc,attraction,21.0307813,105.8527835,Hà Nội
Lăng Chủ tịch Hồ Chí Minh,attraction,21.0367617,105.8346919,Hà Nội
Phủ Chủ Tịch,attraction,21.0393019,105.8344412,Hà Nội
Nhà hát Lớn,attraction,21.0241925,105.857823,Hà Nội
Nhà sàn Bác Hồ,attraction,21.0381713,105.833152,Hà Nội
Bảo tàng Hà Nội,museum,21.010013,105.786309,Hà Nội
Nhà tù Hỏa Lò,museum,21.0253763,105.8464274,Hà Nội
Hoàng thành Thăng Long,attraction,21.0357532,105.8402425,Hà Nội
Chùa Một Cột,attraction,21.0358556,105.8336144,Hà Nội
Khuê Văn Các,attraction,21.0285826,105.8358894,Hà Nội
Co Loa Citadel,attraction,21.1139213,105.8735561,Hà Nội
Thiên đường Bảo Sơn,park,20.9981551,105.7319783,Hà Nội
Bãi đá Sông Hồng,camp_site,21.0784083,105.8352103,Hà Nội
Quảng trường Ba Đình,attraction,21.0369875,105.8358029,Hà Nội
Phố đường tàu Hà Nội,attraction,21.0299738,105.8431281,Hà Nội
Vinpearl Aquarium Times City,park,20.9964112,105.8679407,Hà Nội
