name,kind,lat,lon,province/city
Lăng Tự Đức,tomb,16.4331813,107.5645857,Huế
Tử Cấm Thành,attraction,16.4694914,107.577755,Huế
Temple of Literature,monument,16.452965,107.538902,Huế
Đồi Vọng Cảnh,peak,16.4352692,107.562407,Huế
Hoàng Thành Huế,museum,16.4689726,107.5781266,Huế
Lăng vua Gia Long,attraction,16.3620472,107.5969243,Huế
Quoc Hoc,attraction,16.4609446,107.5825343,Huế
Cầu Vĩ Dạ,attraction,16.4714657,107.5997497,Huế
Khai Dinh Tomb,tomb,16.3992686,107.5905785,Huế
Chợ Đông Ba,attraction,16.4725333,107.5886564,Huế
Bảo tàng Hồ Chí Minh,museum,16.4596249,107.5811082,Huế
Quốc Tử Giám,attraction,16.4705977,107.5824866,Huế
Điện Thái Hòa,attraction,16.4687434,107.5783867,Huế
Biển Lăng Cô,beach,16.278286, 108.061393, Huế
