name,kind,lat,lon,province/city
Bãi Tiên,picnic_site,12.2967642,109.2348449,Nha Trang
Mũi Đôi,cape,12.6481985,109.4616121,Nha Trang
VinPearl,park,12.2167276,109.2399577,Nha Trang
Mũi Kê Gà,cape,12.3054293,109.242305,Nha Trang
Bán Đảo Hòn Gốm,attraction,12.6482916,109.4249862,Nha Trang
Khu du lịch Thác Yang Bay,attraction,12.1947322,108.9173118,Nha Trang
Monkey Island,attraction,12.3597651,109.2136043,Nha Trang
Bãi dài nha trang,artwork,12.1158777,109.1950611,Nha Trang
Bịp Sơn.,camp_site,12.7115092,109.2956674,Nha Trang
Bãi Rạng - Hòn Ghềnh,attraction,12.6509905,109.4581213,Nha Trang
Vịnh Nha Trang,bay,12.2566743,109.2091671,Nha Trang
Khu Tưởng Niệm Chiến Sĩ Gạc Ma,memorial,12.0852335,109.1924217,Nha Trang
Bảo tàng Hải dương học Nha Trang,museum,12.2082555,109.2147071,Nha Trang
