name,kind,lat,lon
Lầu Ông Hoàng,castle,10.9347126,108.144982
Tháp Po Sah Inư,ruins,10.9360535,108.1461223
Biggest sleeping Buddha in Vietnam,monument,10.8142909,107.8950202
Tượng Phật Bà,monument,10.9237795,108.0954176
White Dunes,attraction,11.0678842,108.4273029
Princess D'Annam,hotel,10.7084884,107.9798789
Peaceful Resort,hotel,10.7173085,108.0013962
Sand Dune Hotel,hotel,10.9511155,108.2097969
Dragon Fly Guest House,guest_house,10.947951,108.2024711
Bien Nguon Guesthouse,guest_house,10.9487969,108.2044989
An Can Guest House,guest_house,10.9501893,108.2073037
Evergreen Guest House,guest_house,10.9496834,108.2064242
Minh Trang Guesthouse,guest_house,10.9488956,108.204736
KS Bình Tâm,hotel,10.6026247,107.5559069
Chỗ luộc trứng,attraction,10.605241,107.5564065
Mũi Kê Gà,cape,10.6998411,107.9931295
Canary Beach Resort,hotel,10.9492932,108.2588354
Hai Gia Resort,hotel,10.948777,108.2606968
Thai hoa muine resort,hotel,10.9492499,108.2584496
Hai Au Mui Ne Beach Resort & Spa,hotel,10.9511154,108.2541629
Khách sạn TTC Palace,hotel,10.9405359,108.1032726
Villa Aria Mui Ne,hotel,10.949418,108.2066643
Mia Resort,hotel,10.9443937,108.1958566
Ocean Star Resort,hotel,10.9441254,108.1953173
Unique Mui Ne Resort,hotel,10.943696,108.1945532
Seahorse Resort,hotel,10.9430905,108.1936571
Palmira Beach Resort,hotel,10.9422317,108.1925788
Sonata Mui Ne Resort,hotel,10.9421843,108.1918224
Anantara Resort,hotel,10.9415101,108.1916776
Nam ha Hotel,hotel,10.9424719,108.1921845
Sea Lion Resort,hotel,10.939856,108.1908572
Song Huong Hotel,hotel,10.9553091,108.2343193
Phố Biển Hòn Lan Resort and Villas,hotel,10.7155478,107.9504593
Mũi Kê Gà,viewpoint,10.6999139,107.9929723
Hoang Hai Resort,hotel,10.9547744,108.235907
Mui Ne Resort,hotel,10.9548861,108.2348589
The Cliff Resort,hotel,10.9373206,108.1787638
Tháp nước Phan Thiết,yes,10.9287668,108.1000173
Bảo tàng Hồ Chí Minh,museum,10.9286452,108.0953332
Bảo tàng Lịch Sử Phan Thiết,museum,10.9299842,108.097897
Bảo tàng Lực lượng vũ trang nhân dân,museum,10.9292092,108.100534
Tượng đài Chiến Thắng,monument,10.9295791,108.1042775
Herbal,hotel,10.9522336,108.2115421
Phu Hai Resort,hotel,10.9339325,108.1687693
White Sands Resort,hotel,10.9325658,108.1669509
Ngọc Song,hotel,10.938718,108.153989
Poshanu Resort,hotel,10.936611,108.178174
Ocean Vista,hotel,10.938055,108.184372
Đài tưởng niệm Liệt sĩ Hàm Thuận Nam,monument,10.8476847,107.8772874
Ganh Resort,hotel,10.9286158,108.2914308
Malibu Resort,hotel,10.9291741,108.283808
Resort Vịnh Mũi Né,hotel,10.9209929,108.2914983
The Sailing Bay Resort,hotel,10.9238068,108.2938234
Dv Du Lịch Gành Mũi Né,hotel,10.923023,108.2937346
Muine Bay Resort,hotel,10.9214818,108.2926606
