name,kind,lat,lon,province/city
Sun Spa Resort,hotel,17.4797466,106.6336809,Quảng Bình
Long Bình,hotel,17.4795073,106.6203416,Quảng Bình
Phong Nha I Hotel,hotel,17.6098671,106.3106715,Quảng Bình
Thành Đạt,guest_house,17.6100598,106.3118758,Quảng Bình
Phương Nam,hotel,17.6112128,106.3077328,Quảng Bình
Ke Bang Hotel,hotel,17.476314,106.6233466,Quảng Bình
Năm Long Hotel,hotel,17.4763754,106.623191,Quảng Bình
Lương Thực,hotel,17.4734809,106.6218053,Quảng Bình
Phong Nha Farmstay,hotel,17.6242297,106.3851832,Quảng Bình
Van Anh,hotel,17.6101414,106.3108521,Quảng Bình
"Ticket office for Phong Nha Cave, Tien Son Cave",information,17.6096075,106.3053181,Quảng Bình
Quang Ly,guest_house,17.468581,106.5989479,Quảng Bình
Mau Hong,guest_house,17.4798636,106.6248923,Quảng Bình
Thao Nguyen Hotel,hotel,17.6100906,106.3095597,Quảng Bình
Ban Laboy Ford,battlefield,17.2056687,106.1472938,Quảng Bình
Karia Pass,battlefield,17.2813981,106.1865336,Quảng Bình
Tra Ang Cave (Approximate),attraction,17.4985505,106.2622703,Quảng Bình
Động Phong Nha,cave_entrance,17.5813674,106.2830788,Quảng Bình
Hang Sơn Đoòng,cave_entrance,17.456944,106.2875,Quảng Bình
Động Thiên Đường,cave_entrance,17.5192008,106.223045,Quảng Bình
Động Tiên Sơn,cave_entrance,17.5802528,106.282071,Quảng Bình
Sai Gon,hotel,17.4672954,106.6253469,Quảng Bình
Nam Long Plus Hotel,hotel,17.4784378,106.6231171,Quảng Bình
Phou Klay,peak,17.0508085,106.2196039,Quảng Bình
Phou Lo Lut,peak,17.2422811,106.1732168,Quảng Bình
Phou Toun,peak,17.0625841,106.2050113,Quảng Bình
Raving Pass,battlefield,17.1082976,106.583942,Quảng Bình
Phou Chalat,peak,17.028735,106.131022,Quảng Bình
Nui Co Duc,peak,17.103362,106.273566,Quảng Bình
Phou Klay,peak,17.050787,106.219557,Quảng Bình
Phou Koklang,peak,17.08525,106.191726,Quảng Bình
Phou Kokrang,peak,17.082481,106.17074,Quảng Bình
Phou La,peak,17.033287,106.287921,Quảng Bình
Phou Laak,peak,17.067526,106.289327,Quảng Bình
Phou Ladeu,peak,17.085764,106.302684,Quảng Bình
Phou Lahouay,peak,17.004755,106.240449,Quảng Bình
Phou Moun,peak,17.073181,106.227457,Quảng Bình
Phou Salang,peak,17.089945,106.24256,Quảng Bình
Phou Saleng,peak,17.033246,106.27039,Quảng Bình
Hon Couc,peak,17.154314,106.221391,Quảng Bình
Pho La Nhio,peak,17.19246,106.110465,Quảng Bình
Phou A Douk,peak,17.131802,106.108856,Quảng Bình
Phou Lennik,peak,17.199778,106.121924,Quảng Bình
Phou Pre,peak,17.103957,106.142073,Quảng Bình
Phou Hoi,peak,17.2396097,106.1188125,Quảng Bình
Phou Thong,peak,17.285395,106.130602,Quảng Bình
Phou Vong,peak,17.31279,106.14763,Quảng Bình
Midtown Hotel,hotel,17.6097613,106.3108513,Quảng Bình
Mountain View Hotel,hotel,17.6097308,106.3126145,Quảng Bình
Duong Homestay,hotel,17.6104343,106.3111712,Quảng Bình
Geminai Hotel & Cafe,hotel,17.4769335,106.6235371,Quảng Bình
Mountain View Hotel,hotel,17.6101218,106.3121457,Quảng Bình
Moa binh,hotel,17.4759313,106.620846,Quảng Bình
Shortcut,information,17.6355018,106.2836574,Quảng Bình
Đúc Tuân,hotel,17.216565,106.45028,Quảng Bình
Village House,guest_house,17.6163639,106.3212616,Quảng Bình
Quang Binh Forest Ranger Guest House,guest_house,17.5104721,106.6133117,Quảng Bình
Ho Khanh's homestay,guest_house,17.5950168,106.2863254,Quảng Bình
Oxalis Phong Nha Office,information,17.6005919,106.2951619,Quảng Bình
En Cave,cave_entrance,17.47472,106.3215056,Quảng Bình
Chày Lập Farmstay,hotel,17.6016656,106.2546929,Quảng Bình
Hang 8 cô,attraction,17.5038683,106.2617412,Quảng Bình
Suoi Nuoc Mooc,monument,17.5553924,106.2357356,Quảng Bình
Hang Én Cave,attraction,17.441321,106.292725,Quảng Bình
Bia di tích chiến thắng Khe Gát,memorial,17.6605639,106.2574276,Quảng Bình
Nhà tưởng niệm liệt sỹ Khe Gát,memorial,17.6611502,106.2517611,Quảng Bình
Di tích chiến tranh phà Xuân Sơn,monument,17.613982,106.3070213,Quảng Bình
Hang Sơn Đoòng - Hồ Khanh,artwork,17.444152,106.293583,Quảng Bình
Bia Di tích chiến thắng Làng Ho,memorial,17.0382482,106.6415135,Quảng Bình
Di tích phà Long Đại,artwork,17.325973,106.625073,Quảng Bình
Đền tưởng niệm các chiến sỹ Trường Sơn,attraction,17.3256443,106.6229322,Quảng Bình
Ngã ba Rình Rình nhánh Tây HCM,attraction,17.336856,106.444343,Quảng Bình
Ngã ba Rình Rình Nhánh Đông HCM,attraction,17.4839077,106.5317896,Quảng Bình
Hotel Phuoc Sy,hotel,17.2109387,106.8563536,Quảng Bình
TIKI HOSTEL&PUB,motel,17.5037449,106.6191123,Quảng Bình
Ký túc xá Giảng viên Đại học Quảng Bình,hostel,17.4827766,106.6046351,Quảng Bình
Beachside Backpackers Hostel Restaurant Bar,hostel,17.5011641,106.6208462,Quảng Bình
Rustic Home,hotel,17.5946559,106.2862981,Quảng Bình
Nàh hang Thanh Hoa,hostel,17.6405335,106.2840467,Quảng Bình
Mai Hồng,hostel,17.4882032,106.6271335,Quảng Bình
Nha Nghi,guest_house,17.3877875,106.6531876,Quảng Bình
Frontière laos,viewpoint,17.3161592,106.2015476,Quảng Bình
Heritage by Night,hotel,17.6100933,106.3089528,Quảng Bình
Phuong Nam Hotel,hotel,17.6103946,106.3086233,Quảng Bình
Xuan Son,memorial,17.6101954,106.3166617,Quảng Bình
Phong Nha Coco House,hotel,17.6092317,106.3019568,Quảng Bình
Gecko hostel,hostel,17.6101074,106.309896,Quảng Bình
Binh Minh Hotel,hotel,17.6100094,106.309838,Quảng Bình
Sao Nam,hotel,17.7509849,106.4401787,Quảng Bình
Nha nghi,hotel,17.2532725,106.8027108,Quảng Bình
Hang Tối,cave_entrance,17.5737841,106.2541677,Quảng Bình
Hoa Phượng,motel,17.4605687,106.624308,Quảng Bình
Lộc Phát,hotel,17.4602537,106.6247271,Quảng Bình
Thanh Tâm,motel,17.4606623,106.6243342,Quảng Bình
