name,kind,lat,lon,province/city
Bach Dang Hotel,hotel,20.8618088,106.6862823,Quảng Ninh
Phương Linh,hotel,20.7247477,107.0519917,Quảng Ninh
Princes Hotel,hotel,20.7242639,107.0507878,Quảng Ninh
Nhị Anh,hotel,20.724812,107.0525497,Quảng Ninh
Đinh Ngự Lâm,peak,20.7934251,106.9989474,Quảng Ninh
Động Mê Cung,cave_entrance,20.8341057,107.0845764,Quảng Ninh
Quang Minh,hotel,20.7242388,107.0506926,Quảng Ninh
Hùng Anh,hotel,20.7251373,107.0532764,Quảng Ninh
Sunflower Two,hotel,20.7260102,107.0532507,Quảng Ninh
Nam Phương 1,hotel,20.7249982,107.0497553,Quảng Ninh
Lan Ha,hotel,20.7254176,107.0498782,Quảng Ninh
Cat Ba Dream,hotel,20.7241244,107.050041,Quảng Ninh
Sunflower One,hotel,20.7243638,107.0504589,Quảng Ninh
Thang Long Hotel,hotel,20.7241526,107.050033,Quảng Ninh
Tuan Ha,hotel,20.7251708,107.0497593,Quảng Ninh
Sông Chanh II,hotel,20.7258638,107.050861,Quảng Ninh
Dung Hà,hotel,20.7252071,107.0498104,Quảng Ninh
Yen Thanh,hotel,20.724949,107.0494944,Quảng Ninh
Đảo Xanh,hotel,20.7322923,107.058729,Quảng Ninh
Trường Giang,hotel,20.7242749,107.0508444,Quảng Ninh
Huy Hoàng,hotel,20.7242515,107.050736,Quảng Ninh
Sun & Sea Hotel,hotel,20.725563,107.0504728,Quảng Ninh
vien duong hotel,hotel,20.7252271,107.0500357,Quảng Ninh
Draco QK3 Hotel,hotel,20.7216172,107.0513378,Quảng Ninh
Nam Duong Hotel,hotel,20.7232921,107.0504665,Quảng Ninh
Hoàng Hiếu Hotel,hotel,20.7253972,107.0498601,Quảng Ninh
Ha Long Pearl,hotel,20.9515064,107.041204,Quảng Ninh
BMC Thăng Long Hotel,hotel,20.9483048,107.0289488,Quảng Ninh
Floating Village,attraction,20.9027194,107.0181373,Quảng Ninh
Nhang Hi Hotel,hotel,20.9496358,107.0297089,Quảng Ninh
1300/4,boundary_stone,21.59946,107.3628429,Quảng Ninh
1300,boundary_stone,21.6067958,107.3570621,Quảng Ninh
Khu 359 (Mai Quyền II),guest_house,21.1140496,107.4935822,Quảng Ninh
Thành Liễu,hotel,20.943752,107.5481683,Quảng Ninh
Ngân Hà,hotel,20.8761933,107.4927834,Quảng Ninh
Hông Ngoc,hotel,21.0600727,107.4290092,Quảng Ninh
Lâm Tâm,hotel,21.0612291,107.429433,Quảng Ninh
The Whisper of Nature,hotel,20.8039954,107.0405871,Quảng Ninh
Cho Cat Ba,attraction,20.7274511,107.0469791,Quảng Ninh
Monkey Island Resort,hotel,20.7293037,107.078449,Quảng Ninh
Hoàng Hải Hotel,hotel,20.8542692,106.6836151,Quảng Ninh
Duyen Hai Hotel,hotel,20.8632774,106.6808243,Quảng Ninh
Huu Nghi Hotel,hotel,20.8617773,106.6843035,Quảng Ninh
Bảo Anh Hotel,hotel,20.8607974,106.6850541,Quảng Ninh
Hoàng Long Hotel,hotel,20.8597888,106.6816893,Quảng Ninh
Kim Thành Hotel,hotel,20.8615146,106.6839369,Quảng Ninh
Monaco Hotel,hotel,20.86144,106.6827137,Quảng Ninh
Bảo Anh Hotel,hotel,20.8562259,106.6783871,Quảng Ninh
Lasvegas,hotel,20.8344756,106.6923905,Quảng Ninh
An Đào Hotel,hotel,20.8418237,106.699601,Quảng Ninh
NHÀ NGHỈ MÙA THU,chalet,20.8296287,106.7185956,Quảng Ninh
Nhà nghỉ Thu Hiền,chalet,20.8299013,106.701111,Quảng Ninh
Phúc Đại Lợi Hotel,hotel,20.8501851,106.6749039,Quảng Ninh
Trọng Khách,hotel,20.8552127,106.6782701,Quảng Ninh
Hotel level,hotel,20.8447979,106.6924822,Quảng Ninh
Thành Công,hotel,20.8339609,106.6965385,Quảng Ninh
rex hotel,hostel,20.8340181,106.6783366,Quảng Ninh
Nhà Ngỉ Thanh Nhàn,motel,20.8308458,106.691642,Quảng Ninh
Nhà nghỉ,hotel,20.8341476,106.690014,Quảng Ninh
Tường Vi,hotel,20.8321959,106.7026976,Quảng Ninh
Nhà Ngỉ Bình Vân,motel,20.8305577,106.6886875,Quảng Ninh
Nhà Ngỉ Linh Huyền,motel,20.8311705,106.6881165,Quảng Ninh
Nhà Ngỉ Nam Hương 879 Thiên Lôi,motel,20.8299131,106.6903462,Quảng Ninh
Nhà Ngỉ Thanh Nhàn,motel,20.8297731,106.6908694,Quảng Ninh
Nhà Ngỉ Đình Vũ 3,motel,20.8299424,106.6916265,Quảng Ninh
Nhà Ngỉ Duy Khánh,motel,20.8316155,106.6871343,Quảng Ninh
Nhà ngỉ Phương Hồng,motel,20.8314685,106.6874571,Quảng Ninh
City view,hotel,20.8947893,106.6726095,Quảng Ninh
Camela Hotel& Resort,hotel,20.8775842,106.6375002,Quảng Ninh
Công viên,theme_park,20.8028126,106.6267357,Quảng Ninh
Cửa hàng giấy dán tường hoa Việt Hàn,information,20.842289,106.70392,Quảng Ninh
Khách sạn Camela,hotel,20.8760299,106.6435253,Quảng Ninh
Khách sạn Hải Phòng,hotel,20.8317409,106.7027211,Quảng Ninh
Khách sạn Kim An,hotel,20.813943,106.6241466,Quảng Ninh
Khách sạn Việt Trung,hotel,20.8467624,106.7155214,Quảng Ninh
Monte Carlo Hai Phong Hotel,hotel,20.8454883,106.7121562,Quảng Ninh
Tray Hotel,hotel,20.8493072,106.6898417,Quảng Ninh
Monaco Hotel,hotel,20.8456039,106.7124109,Quảng Ninh
Paramount Hotel,hotel,20.8457192,106.7127939,Quảng Ninh
Tượng đài Nữ tướng Lê Chân,memorial,20.8559981,106.6795685,Quảng Ninh
Chùa An Dương,castle,20.8476845,106.6654074,Quảng Ninh
Đền thờ Bác Hồ,castle,20.8578974,106.6505485,Quảng Ninh
Pearl River Hotel,hotel,20.8166474,106.6980538,Quảng Ninh
Hailong Hotel,hotel,20.7231574,107.0505139,Quảng Ninh
Động Minh Châu,cave_entrance,20.7534299,107.0124942,Quảng Ninh
Vịnh Hạ Long,attraction,20.9084384,107.0682782,Quảng Ninh
Dinh vua Bảo Đại,attraction,20.687659,106.792966,Quảng Ninh
Hang Luồn Cave Entrance,attraction,20.8531631,107.0947761,Quảng Ninh
Phuong Mai Family Hotel,hotel,20.7255221,107.0482057,Quảng Ninh
Artillery Marker Viewpoint,viewpoint,20.7231654,107.0524288,Quảng Ninh
Quyet Nhung Hotel,guest_house,21.3550957,107.5903691,Quảng Ninh
Viet Trung Hotel,hotel,21.0015977,107.2684128,Quảng Ninh
Van Hoa Hotel,hotel,20.9585017,107.0195774,Quảng Ninh
Sea View Hotel,hotel,20.7249088,107.0494246,Quảng Ninh
Thu Luyen hotel (Nhà Nghỉ Thu Luyến),hotel,21.333853,106.8500141,Quảng Ninh
Hotel,hotel,21.323811,106.8167188,Quảng Ninh
Hotel,hotel,21.3906556,106.7590082,Quảng Ninh
Halong Plaza Hotel,hotel,20.9602376,107.0608645,Quảng Ninh
Động Hoa Cương,cave_entrance,20.8382771,106.9842347,Quảng Ninh
