name,kind,lat,lon,province/city,province/cityNúi Đôi,peak,21.2576705,105.8641682,Hà Nội
Lầu Ông Hoàng,castle,10.9347126,108.144982,Bình Thuận,,,,,
Tháp Po Sah Inư,ruins,10.9360535,108.1461223,Bình Thuận,,,,,
Tượng Phật Bà,monument,10.9237795,108.0954176,Bình Thuận,,,,,
White Dunes,attraction,11.0678842,108.4273029,Bình Thuận,,,,,
Mũi Kê Gà,cape,10.6998411,107.9931295,Bình Thuận,,,,,
Tháp nước Phan Thiết,yes,10.9287668,108.1000173,Bình Thuận,,,,,
Bảo tàng Hồ Chí Minh,museum,10.9286452,108.0953332,Bình Thuận,,,,,
Tượng đài Chiến Thắng,monument,10.9295791,108.1042775,Bình Thuận,,,,,
Vita Garden Mini-park,park,10.9543324,108.2587827,Bình Thuận,,,,,
Ta Cu Moutain,attraction,10.8345222,107.8703156,Bình Thuận,,,,,
Fairy Stream,attraction,10.9520082,108.2567008,Bình Thuận,,,,,
Núi Hồ Linh,mountain,10.510745,107.5032561,Bình Thuận,,,,,
Bãi biển Đồi Dương Thị Xã Lagi,artwork,10.7063765,107.8415884,Bình Thuận,,,,,
Dragon Fruit Plantage,attraction,11.1907698,108.0740317,Bình Thuận,,,,,
Bãi Suối Ồ - Sông Lô,beach,10.5659429,107.5673747,Bình Thuận,,,,,
Bia chiến thắng Đèo Bảo Lộc,monument,11.4633252,107.7303494,Bình Thuận,,,,,
Biển Hồ Hô Tram Camping,camp_site,10.5322922,107.5364244,Bình Thuận,,,,,
Tượng đài Việt Quốc Công,monument,10.9274792,108.1167763,Bình Thuận,,,,,
Công viên Hòa Bình,park,10.9294288,108.1152186,Bình Thuận,,,,,
Novadream,park,10.8491269,108.0424732,Bình Thuận,,,,,
Đồi cát bay Mũi Né,attraction,10.9476754,108.2933338,Bình Thuận,,,,,
Đèo Hải Vân,attraction,16.1874495,108.1307217,Đà Nẵng,,,,,
Mũi Đà Nẵng,cape,16.117875,108.3386414,Đà Nẵng,,,,,
Ban Co Peak,peak,16.1189286,108.2720036,Đà Nẵng,,,,,
Bãi Nam,viewpoint,16.1027134,108.2951213,Đà Nẵng,,,,,
Động Âm Phủ,cave,16.0031975,108.2639113,Đà Nẵng,,,,,
Linh Nham Cave,cave,16.0042103,108.2630874,Đà Nẵng,,,,,
Núi Bà Nà,attraction,15.9982174,107.9856335,Đà Nẵng,,,,,
Thanh Ha Pottery Village,attraction,15.8771257,108.2989875,Đà Nẵng,,,,,
Non Nuoc Beach,beach,16.0205336,108.261744,Đà Nẵng,,,,,
Bảo tàng Mỹ Thuật Đà nẵng,artwork,16.0712623,108.2177145,Đà Nẵng,,,,,
Hoi An Old Town,attraction,15.8779509,108.3239898,Đà Nẵng,,,,,
Trung tâm Giải trí Phức hợp Helio Center,park,16.0364559,108.2246715,Đà Nẵng,,,,,
Fishing Village and Fleet,attraction,16.1017543,108.2589632,Đà Nẵng,,,,,
Tien Son Bridge,attraction,16.0352694,108.2352722,Đà Nẵng,,,,,
Núi Thần Tài,attraction,15.9681262,108.0196301,Đà Nẵng,,,,,
Chợ Đêm,attraction,15.8757772,108.3259285,Đà Nẵng,,,,,
Sun World Asia Park,park,16.0399668,108.2268339,Đà Nẵng,,,,,
Phố cổ Hội An,attraction,15.8784139,108.3234141,Đà Nẵng,,,,,
Han Swinging Bridge,attraction,16.0721398,108.2268106,Đà Nẵng,,,,,
Chợ đêm Helio,attraction,16.0371449,108.2244066,Đà Nẵng,,,,,
Chùa Linh Ứng, pagoda,16.099646,108.276998, Đà Nẵng,,,,,
Bảo tàng Đà Nẵng,museum,16.0763269,108.221568,Đà Nẵng,,,,,
Sun World Bà Nà Hills,park,15.9956307,107.9897217,Đà Nẵng,,,,,
Hải Vân Quan,attraction,16.1877471,108.1312899,Đà Nẵng,,,,,
Đài Tưởng Niệm Chủ Tịch Hồ Chí Minh,monument,20.9704922,105.8310021,,Hà Nội,,,,
Tháp Bút,attraction,21.0306387,105.8533875,,Hà Nội,,,,
Tượng Đức Mẹ,memorial,21.0289049,105.8493496,,Hà Nội,,,,
Tượng thiền sư Lý Vạn Hạnh,monument,21.1379255,105.9829214,,Hà Nội,,,,
Lăng Cả,tomb,21.0956814,105.9607972,,Hà Nội,,,,
Điện Kính Thiên,ruins,21.0367885,105.8404345,,Hà Nội,,,,
Làng mây tre đan Phú Vinh,attraction,20.9364693,105.6475969,,Hà Nội,,,,
Đền Gióng Phù Đổng,attraction,21.0553833,105.9613045,,Hà Nội,,,,
Lotte World Aquarium,park,21.0757951,105.8125879,,Hà Nội,,,,
Xác máy bay B52,attraction,21.0379386,105.8270934,,Hà Nội,,,,
Núi Đền,peak,21.2876414,105.8223183,,Hà Nội,,,,
Tháp Đồng Hồ,attraction,20.9573147,105.9830321,,Hà Nội,,,,
Cổng tam quan,attraction,20.8075268,105.8517377,,Hà Nội,,,,
